BCR,BirdName,BirdScientificName,BirdCount
Atlantic Northern Forest,Veery,Catharus fuscescens,739
Northern Pacific Rainforest,Song Sparrow,Melospiza melodia,5145
Northern Rockies,Wilson's Warbler,Cardellina pusilla,1047
Boreal Hardwood Transition,Red-eyed Vireo,Vireo olivaceus,597
Appalachian Mountains,Yellow Warbler,Setophaga petechia,585
Southern Rockies/Colorado Plateau,Traill's Flycatcher,Empidonax alnorum/traillii,201
Boreal Hardwood Transition,American Robin,Turdus migratorius,200
Sierra Nevada,House Wren,Troglodytes aedon,134
Central Hardwoods,Indigo Bunting,Passerina cyanea,3446
Prairie Potholes,Common Yellowthroat,Geothlypis trichas,485
Coastal California,Western Wood-Pewee,Contopus sordidulus,471
Southern Rockies/Colorado Plateau,Lincoln's Sparrow,Melospiza lincolnii,471
West Gulf Coastal Plain/Ouachitas,Carolina Wren,Thryothorus ludovicianus,329
Southern Rockies/Colorado Plateau,Wilson's Warbler,Cardellina pusilla,328
Piedmont,American Goldfinch,Spinus tristis,473
New England/Mid-Atlantic Coast,Hermit Thrush,Catharus guttatus,215
Southern Rockies/Colorado Plateau,Brown-headed Cowbird,Molothrus ater,367
Prairie Hardwood Transition,House Wren,Troglodytes aedon,476
Tamaulipan Brushlands,Bullock's Oriole,Icterus bullockii,117
Northern Pacific Rainforest,Wilson's Warbler,Cardellina pusilla,4967
Southern Rockies/Colorado Plateau,Dark-eyed Junco,Junco hyemalis,218
Prairie Hardwood Transition,American Robin,Turdus migratorius,735
New England/Mid-Atlantic Coast,Brown-headed Cowbird,Molothrus ater,158
Atlantic Northern Forest,Red-eyed Vireo,Vireo olivaceus,470
New England/Mid-Atlantic Coast,Veery,Catharus fuscescens,1110
New England/Mid-Atlantic Coast,Kentucky Warbler,Geothlypis formosa,180
Northern Pacific Rainforest,Black-capped Chickadee,Poecile atricapillus,596
Sierra Nevada,Western Wood-Pewee,Contopus sordidulus,745
Appalachian Mountains,Veery,Catharus fuscescens,1188
Eastern Tallgrass Prairie,Indigo Bunting,Passerina cyanea,1936
West Gulf Coastal Plain/Ouachitas,White-eyed Vireo,Vireo griseus,293
Boreal Hardwood Transition,Yellow Warbler,Setophaga petechia,106
